,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Years
101,Patriots,537,320,59.6,6.8,3651,23,13,84.3,177,33,44,8,82,32,219,2003
102,Vikings,520,333,64,8,4169,32,13,99,194,37.3,52,15,72,42,218,2003
103,Dolphins,450,257,57.1,6.7,3001,17,19,72.5,145,32.2,43,5,80,31,209,2003
104,Raiders,521,278,53.4,5.7,2988,9,14,65,140,26.9,38,2,47,43,237,2003
105,Rams,600,377,62.8,7.1,4287,23,23,81,211,35.2,64,6,48,43,326,2003
106,Chiefs,536,339,63.2,7.7,4113,24,12,92.4,201,37.5,55,8,67,21,132,2003
107,Jaguars,515,303,58.8,6.6,3421,17,17,76,163,31.7,40,8,84,28,136,2003
108,Colts,569,381,67,7.5,4289,29,10,99,212,37.3,45,9,79,19,110,2003
109,Texans,439,248,56.5,6.5,2841,14,18,69.7,127,28.9,32,7,78,36,186,2003
110,Titans,502,315,62.7,8,4031,30,9,100.3,211,42,55,12,73,25,153,2003
111,Packers,473,310,65.5,7.1,3377,32,21,90.5,166,35.1,42,7,66,19,137,2003
112,Lions,588,319,54.3,5.1,2988,17,24,61.1,152,25.9,26,3,72,11,64,2003
113,Broncos,479,280,58.5,6.5,3126,19,18,75.6,162,33.8,35,6,72,25,157,2003
114,Cowboys,510,294,57.6,6.6,3347,17,21,71.4,149,29.2,49,7,64,37,185,2003
115,Browns,509,313,61.5,6.1,3116,17,18,75.2,153,30.1,25,6,71,40,282,2003
116,Bengals,520,324,62.3,6.9,3591,26,15,87.4,181,34.8,37,11,82,37,249,2003
117,Bears,515,271,52.6,5.6,2905,12,20,61,143,27.8,37,5,61,43,288,2003
118,Panthers,460,270,58.7,7,3238,19,16,79.6,146,31.7,46,9,67,26,188,2003
119,Bills,502,293,58.4,6.1,3069,11,17,69.4,150,29.9,31,2,54,51,385,2003
120,Redskins,514,288,56,5.6,2874,18,17,70,156,30.4,27,5,51,38,242,2004
121,Buccaneers,512,340,66.4,7.4,3773,24,18,89.1,175,34.2,50,10,75,44,299,2004
122,Seahawks,532,304,57.1,7,3715,23,18,79.1,189,35.5,47,4,60,34,176,2004
123,49ers,561,325,57.9,6.2,3455,16,21,69.9,172,30.7,28,3,65,52,319,2004
124,Chargers,450,288,64,7.8,3506,29,8,102,160,35.6,45,9,79,21,149,2004
125,Steelers,358,228,63.7,8.3,2970,20,13,93.2,147,41.1,47,7,58,36,250,2004
126,Cardinals,533,299,56.1,6,3202,14,18,68.5,152,28.5,38,4,48,39,320,2004
127,Eagles,547,336,61.4,7.7,4208,32,11,96.4,188,34.4,56,20,80,37,229,2004
128,Jets,438,282,64.4,7.4,3231,19,11,90.5,163,37.2,38,9,69,31,181,2004
129,Giants,475,269,56.6,6.5,3097,12,13,73.5,143,30.1,35,10,62,52,279,2004
130,Saints,542,309,57,7,3810,21,16,79.5,177,32.7,57,5,57,41,223,2004
131,Patriots,485,293,60.4,7.7,3750,29,14,92.5,193,39.8,53,10,50,26,162,2004
132,Vikings,552,380,68.8,8.6,4754,39,12,109.8,225,40.8,64,18,82,46,238,2004
133,Dolphins,586,309,52.7,5.8,3391,19,26,62.5,165,28.2,38,5,76,52,326,2004
134,Raiders,582,330,56.7,6.9,4019,24,22,76.1,176,30.2,55,11,63,30,161,2004
135,Rams,580,372,64.1,8,4615,23,22,86.1,203,35,67,8,75,50,362,2004
136,Chiefs,561,370,66,8.3,4633,27,17,94.9,228,40.6,60,10,70,32,227,2004
