,Team,FF,FR,FR_TD,Rec_FUM,Rush_FUM,Years
385,Rams,12,4,1,2,4,2012
386,Chiefs,14,6,1,6,7,2012
387,Jaguars,12,11,0,2,4,2012
388,Colts,6,3,0,3,4,2012
389,Texans,17,14,0,4,10,2012
390,Titans,13,5,1,4,6,2012
391,Packers,8,5,1,4,3,2012
392,Lions,11,6,0,3,4,2012
393,Broncos,19,8,1,1,6,2012
394,Cowboys,14,9,2,3,4,2012
395,Browns,16,12,0,5,9,2012
396,Bengals,16,16,1,4,8,2012
397,Bears,26,20,1,10,12,2012
398,Panthers,16,12,0,1,7,2012
399,Bills,21,9,0,6,11,2012
400,Ravens,10,12,0,3,11,2012
401,Falcons,15,11,1,4,8,2012
402,Redskins,12,9,1,5,8,2013
403,Buccaneers,15,10,0,5,6,2013
404,Seahawks,17,11,1,4,7,2013
405,49ers,12,11,3,2,6,2013
406,Chargers,11,6,0,4,4,2013
407,Steelers,16,10,0,5,7,2013
408,Cardinals,11,10,1,2,6,2013
409,Eagles,13,12,1,3,15,2013
410,Jets,10,2,0,2,5,2013
411,Giants,15,12,0,4,6,2013
412,Saints,13,7,0,4,3,2013
413,Patriots,11,12,1,5,6,2013
414,Vikings,12,8,1,4,7,2013
415,Dolphins,10,6,0,0,5,2013
416,Raiders,19,13,2,7,6,2013
417,Rams,21,15,3,3,8,2013
418,Chiefs,13,15,2,4,4,2013
419,Jaguars,15,10,1,2,10,2013
420,Colts,19,12,0,0,8,2013
421,Texans,10,4,0,1,7,2013
422,Titans,14,12,2,5,9,2013
423,Packers,16,11,2,3,3,2013
424,Lions,11,7,1,1,10,2013
425,Broncos,16,9,1,4,9,2013
426,Cowboys,13,13,3,4,4,2013
427,Browns,8,7,1,2,4,2013
428,Bengals,13,11,1,5,4,2013
429,Bears,19,9,1,5,11,2013
430,Panthers,11,10,0,3,5,2013
431,Bills,12,6,1,3,7,2013
432,Ravens,14,7,0,6,6,2013
433,Falcons,13,11,1,6,5,2013
434,Redskins,14,12,0,3,12,2014
435,Buccaneers,16,11,0,5,8,2014
436,Seahawks,18,10,0,7,10,2014
437,49ers,10,6,1,3,4,2014
438,Chargers,16,11,3,3,10,2014
439,Steelers,12,10,1,4,9,2014
440,Cardinals,9,7,1,4,4,2014
441,Eagles,24,16,2,4,10,2014
442,Jets,9,7,0,3,5,2014
443,Giants,15,8,1,1,10,2014
444,Saints,11,5,0,5,5,2014
445,Patriots,15,9,2,5,6,2014
446,Vikings,9,6,1,5,3,2014
447,Dolphins,13,11,1,2,7,2014
448,Raiders,12,5,1,2,7,2014
449,Rams,17,12,0,5,13,2014
450,Chiefs,13,7,0,2,4,2014
451,Jaguars,19,14,2,5,4,2014
452,Colts,21,14,1,7,9,2014
453,Texans,17,14,1,7,8,2014
454,Titans,5,4,1,2,2,2014
455,Packers,12,9,1,2,11,2014
456,Lions,11,7,1,4,6,2014
457,Broncos,15,7,1,11,3,2014
458,Cowboys,15,13,1,9,2,2014
459,Browns,15,8,1,3,6,2014
460,Bengals,7,6,0,0,7,2014
461,Bears,18,10,0,8,5,2014
462,Panthers,22,12,0,8,6,2014
463,Bills,14,11,1,5,6,2014
464,Ravens,16,11,0,6,8,2014
465,Falcons,13,12,1,5,5,2014
466,Redskins,22,15,1,10,13,2015
467,Buccaneers,19,12,2,7,9,2015
468,Seahawks,18,8,3,3,9,2015
469,49ers,5,3,0,3,4,2015
470,Chargers,11,9,0,1,7,2015
471,Steelers,16,13,0,6,12,2015
472,Cardinals,22,14,2,4,12,2015
473,Eagles,18,11,1,7,3,2015
474,Jets,15,12,0,0,8,2015
475,Giants,18,12,2,8,11,2015
476,Saints,18,13,1,2,15,2015
477,Patriots,22,9,2,6,6,2015
478,Vikings,11,9,1,2,6,2015
479,Dolphins,8,3,0,1,3,2015
480,Raiders,14,11,0,8,2,2015
481,Rams,20,13,2,9,9,2015
482,Chiefs,13,7,2,0,7,2015
483,Jaguars,14,9,2,2,4,2015
484,Colts,13,8,1,3,10,2015
485,Texans,12,11,1,2,5,2015
486,Titans,11,8,1,0,3,2015
487,Packers,12,6,0,3,8,2015
488,Lions,17,9,1,5,7,2015
489,Broncos,22,13,1,10,4,2015
490,Cowboys,6,3,0,3,2,2015
491,Browns,14,10,0,5,6,2015
492,Bengals,10,7,0,3,4,2015
493,Bears,6,9,0,3,6,2015
494,Panthers,22,15,0,7,9,2015
495,Bills,9,8,1,1,4,2015
496,Ravens,8,8,1,3,7,2015
497,Falcons,12,8,2,4,7,2015
498,Redskins,17,7,0,2,10,2016
499,Buccaneers,16,12,0,7,4,2016
500,Seahawks,16,8,1,2,8,2016
501,49ers,15,10,0,3,8,2016
502,Chargers,14,10,2,3,6,2016
503,Steelers,16,10,1,4,5,2016
504,Cardinals,21,14,1,2,11,2016
505,Eagles,15,10,0,4,2,2016
506,Jets,14,4,0,2,12,2016
507,Giants,15,8,2,5,5,2016
508,Saints,11,12,0,7,5,2016
509,Patriots,16,10,0,4,11,2016
510,Vikings,13,13,2,2,12,2016
511,Dolphins,16,9,0,6,7,2016
512,Raiders,20,14,0,5,11,2016
513,Rams,12,8,1,5,3,2016
514,Chiefs,16,15,1,6,8,2016
515,Jaguars,10,6,0,1,7,2016
516,Colts,15,9,1,6,4,2016
517,Texans,7,6,0,2,8,2016
518,Titans,4,6,1,1,5,2016
519,Packers,9,8,0,3,1,2016
520,Lions,8,4,0,1,5,2016
521,Broncos,16,13,1,5,8,2016
522,Cowboys,18,11,0,6,8,2016
523,Browns,6,3,0,1,3,2016
524,Bengals,6,3,0,3,4,2016
525,Bears,11,3,1,3,3,2016
526,Panthers,18,10,2,4,5,2016
527,Bills,11,6,2,2,10,2016
528,Ravens,14,10,1,1,10,2016
529,Falcons,17,10,2,6,6,2016
530,Redskins,12,7,0,2,8,2017
531,Buccaneers,18,13,3,5,9,2017
532,Seahawks,13,9,1,1,8,2017
533,49ers,17,10,0,5,10,2017
534,Chargers,13,9,1,3,5,2017
535,Steelers,12,6,0,5,4,2017
536,Cardinals,17,6,1,3,7,2017
537,Eagles,14,11,4,3,3,2017
538,Jets,9,9,0,5,9,2017
539,Giants,12,6,0,4,3,2017
540,Saints,17,5,1,4,5,2017
541,Patriots,9,5,0,4,6,2017
542,Vikings,8,5,0,1,4,2017
543,Dolphins,9,6,2,1,9,2017
544,Raiders,12,9,0,2,6,2017
545,Rams,17,10,0,3,8,2017
546,Chiefs,12,10,3,6,4,2017
547,Jaguars,17,12,5,1,8,2017
548,Colts,11,7,0,4,10,2017
549,Texans,13,5,2,2,4,2017
550,Titans,11,9,1,5,9,2017
551,Packers,10,10,1,3,6,2017
552,Lions,16,13,2,5,8,2017
553,Broncos,8,7,2,3,4,2017
554,Cowboys,20,10,0,3,6,2017
555,Browns,14,6,0,7,5,2017
556,Bengals,4,2,0,1,4,2017
557,Bears,14,14,1,4,8,2017
558,Panthers,15,11,1,4,1,2017
559,Bills,16,7,2,7,5,2017
560,Ravens,16,12,2,4,5,2017
561,Falcons,12,8,2,0,8,2017
562,Redskins,19,11,1,9,3,2018
563,Buccaneers,12,8,1,4,5,2018
564,Seahawks,18,14,1,5,7,2018
565,49ers,11,5,0,4,6,2018
566,Chargers,7,7,1,3,6,2018
567,Steelers,13,7,1,2,5,2018
568,Cardinals,13,9,2,5,3,2018
569,Eagles,12,7,0,3,6,2018
570,Jets,13,7,0,3,4,2018
571,Giants,11,5,0,4,7,2018
572,Saints,19,12,0,9,4,2018
573,Patriots,14,10,1,5,8,2018
574,Vikings,8,8,2,1,12,2018
575,Dolphins,11,7,0,7,3,2018
576,Raiders,5,3,0,1,6,2018
