,Team,Rsh_TD,Rec_TD,Tot_TD,2-PT,Years
539,Giants,6,20,28,1,2017
540,Saints,23,23,51,1,2017
541,Patriots,16,32,49,2,2017
542,Vikings,15,25,41,2,2017
543,Dolphins,4,24,31,1,2017
544,Raiders,13,23,36,2,2017
545,Rams,17,28,51,0,2017
546,Chiefs,12,26,42,0,2017
547,Jaguars,18,21,47,3,2017
548,Colts,11,13,25,0,2017
549,Texans,8,28,40,2,2017
550,Titans,18,14,33,0,2017
551,Packers,13,25,40,1,2017
552,Lions,10,29,46,2,2017
553,Broncos,8,19,31,2,2017
554,Cowboys,18,22,42,0,2017
555,Browns,11,15,27,1,2017
556,Bengals,6,25,34,0,2017
557,Bears,13,13,31,1,2017
558,Panthers,15,22,40,1,2017
559,Bills,12,16,31,0,2017
560,Ravens,14,20,42,1,2017
561,Falcons,12,21,36,0,2017
562,Redskins,12,16,29,2,2018
563,Buccaneers,11,36,49,1,2018
564,Seahawks,15,35,52,1,2018
565,49ers,7,26,35,2,2018
566,Chargers,16,32,51,6,2018
567,Steelers,16,35,54,4,2018
568,Cardinals,9,15,27,2,2018
569,Eagles,12,29,41,5,2018
570,Jets,11,18,34,0,2018
571,Giants,13,23,39,4,2018
572,Saints,26,33,60,4,2018
573,Patriots,18,29,51,0,2018
574,Vikings,9,30,42,3,2018
575,Dolphins,7,26,38,1,2018
576,Raiders,9,19,30,1,2018
577,Rams,23,32,60,5,2018
578,Chiefs,16,50,71,1,2018
579,Jaguars,7,15,25,0,2018
580,Colts,13,39,52,4,2018
581,Texans,12,26,42,0,2018
582,Titans,15,16,34,0,2018
583,Packers,14,25,41,3,2018
584,Lions,11,22,35,0,2018
585,Broncos,18,19,39,0,2018
586,Cowboys,13,22,36,2,2018
587,Browns,15,29,44,4,2018
588,Bengals,13,27,45,1,2018
589,Bears,16,28,50,4,2018
590,Panthers,17,28,46,2,2018
591,Bills,15,13,29,1,2018
592,Ravens,19,18,41,1,2018
593,Falcons,11,36,49,2,2018
594,Redskins,9,18,28,1,2019
595,Buccaneers,15,33,54,5,2019
596,Seahawks,15,31,49,1,2019
597,49ers,23,28,56,2,2019
598,Chargers,12,24,37,1,2019
599,Steelers,7,18,29,0,2019
600,Cardinals,18,20,38,3,2019
601,Eagles,16,27,46,4,2019
602,Jets,6,19,31,3,2019
603,Giants,11,30,44,2,2019
604,Saints,12,36,52,0,2019
605,Patriots,17,25,49,2,2019
606,Vikings,19,26,47,1,2019
607,Dolphins,10,22,34,1,2019
608,Raiders,13,22,37,0,2019
609,Rams,20,22,46,1,2019
610,Chiefs,16,30,50,1,2019
611,Jaguars,3,24,29,4,2019
612,Colts,17,22,42,2,2019
613,Texans,17,27,46,1,2019
614,Titans,21,29,54,1,2019
615,Packers,18,26,44,3,2019
616,Lions,7,28,38,0,2019
617,Broncos,11,16,28,1,2019
618,Cowboys,18,30,49,2,2019
619,Browns,15,22,38,1,2019
620,Bengals,9,18,28,2,2019
621,Bears,8,20,30,1,2019
622,Panthers,20,17,38,1,2019
623,Bills,13,21,35,3,2019
624,Ravens,21,37,64,2,2019
625,Falcons,10,29,42,2,2019
626,Football ,18,16,37,0,2020
627,Buccaneers,16,42,59,0,2020
628,Seahawks,15,40,55,1,2020
629,49ers,19,25,45,1,2020
630,Chargers,12,31,45,2,2020
631,Steelers,12,35,50,2,2020
632,Cardinals,22,27,49,0,2020
633,Eagles,16,22,42,7,2020
634,Jets,9,16,26,1,2020
635,Giants,13,12,27,2,2020
636,Saints,30,28,59,0,2020
637,Patriots,20,12,36,1,2020
638,Vikings,20,35,55,8,2020
639,Dolphins,15,24,42,4,2020
640,Raiders,20,28,48,1,2020
641,Rams,19,20,43,1,2020
642,Chiefs,13,40,57,3,2020
643,Jaguars,9,25,37,3,2020
644,Colts,20,24,50,3,2020
645,Texans,10,33,44,1,2020
646,Titans,26,33,62,4,2020
647,Packers,16,48,66,2,2020
648,Lions,17,27,45,2,2020
649,Broncos,13,21,35,2,2020
650,Cowboys,14,25,42,4,2020
651,Browns,21,27,50,2,2020
652,Bengals,13,19,33,0,2020
653,Bears,12,26,40,2,2020
654,Panthers,19,16,38,1,2020
655,Bills,16,40,60,0,2020
656,Ravens,24,27,55,2,2020
657,Falcons,13,27,41,1,2020
658,Football ,13,21,37,2,2021
659,Buccaneers,18,43,63,1,2021
660,Seahawks,18,30,49,1,2021
661,49ers,22,26,50,2,2021
662,Chargers,18,38,58,7,2021
663,Steelers,10,23,34,2,2021
664,Cardinals,23,27,52,0,2021
665,Eagles,25,20,50,5,2021
666,Jets,14,20,36,4,2021
667,Giants,8,15,24,4,2021
668,Saints,12,29,43,0,2021
669,Patriots,24,24,51,3,2021
670,Vikings,10,34,48,1,2021
671,Dolphins,12,21,39,2,2021
672,Raiders,14,23,37,0,2021
673,Rams,10,41,52,2,2021
674,Chiefs,16,37,57,2,2021
675,Jaguars,13,12,28,2,2021
676,Colts,22,27,52,2,2021
677,Texans,8,21,31,2,2021
678,Titans,23,22,49,2,2021
679,Packers,13,39,54,1,2021
680,Lions,12,23,35,5,2021
681,Broncos,16,20,37,1,2021
682,Cowboys,15,40,64,6,2021
683,Browns,20,21,43,3,2021
684,Bengals,16,36,54,1,2021
685,Bears,14,16,33,3,2021
686,Panthers,17,14,32,3,2021
687,Bills,20,36,57,3,2021
688,Ravens,18,21,41,2,2021
689,Falcons,11,20,33,1,2021
