,Team,FR_TD,SFTY,INT_TD,Years
553,Broncos,2,0,2,2017
554,Cowboys,0,0,1,2017
555,Browns,0,0,1,2017
556,Bengals,0,0,3,2017
557,Bears,1,1,2,2017
558,Panthers,1,0,0,2017
559,Bills,2,0,1,2017
560,Ravens,2,0,3,2017
561,Falcons,2,0,0,2017
562,Redskins,1,0,0,2018
563,Buccaneers,1,0,0,2018
564,Seahawks,1,0,1,2018
565,49ers,0,1,1,2018
566,Chargers,1,0,1,2018
567,Steelers,1,2,2,2018
568,Cardinals,2,0,0,2018
569,Eagles,0,0,0,2018
570,Jets,0,0,3,2018
571,Giants,0,0,3,2018
572,Saints,0,0,1,2018
573,Patriots,1,0,1,2018
574,Vikings,2,0,1,2018
575,Dolphins,0,0,3,2018
576,Raiders,0,0,1,2018
577,Rams,1,2,3,2018
578,Chiefs,1,0,3,2018
579,Jaguars,0,2,2,2018
580,Colts,0,0,0,2018
581,Texans,1,0,3,2018
582,Titans,0,0,2,2018
583,Packers,0,0,1,2018
584,Lions,0,0,2,2018
585,Broncos,0,0,2,2018
586,Cowboys,1,0,0,2018
587,Browns,0,1,0,2018
588,Bengals,2,0,3,2018
589,Bears,1,1,5,2018
590,Panthers,1,0,0,2018
591,Bills,0,1,0,2018
592,Ravens,3,0,0,2018
593,Falcons,1,0,1,2018
594,Redskins,0,0,0,2019
595,Buccaneers,4,0,2,2019
596,Seahawks,1,0,2,2019
597,49ers,2,0,3,2019
598,Chargers,0,0,0,2019
599,Steelers,2,0,1,2019
600,Cardinals,0,0,0,2019
601,Eagles,2,0,1,2019
602,Jets,2,2,3,2019
603,Giants,1,1,1,2019
604,Saints,1,1,2,2019
605,Patriots,2,1,3,2019
606,Vikings,1,1,1,2019
607,Dolphins,0,1,1,2019
608,Raiders,0,0,2,2019
609,Rams,2,1,2,2019
610,Chiefs,2,0,1,2019
611,Jaguars,1,0,1,2019
612,Colts,0,2,1,2019
613,Texans,0,0,2,2019
614,Titans,2,1,1,2019
615,Packers,0,0,0,2019
616,Lions,1,0,0,2019
617,Broncos,1,0,0,2019
618,Cowboys,1,0,0,2019
619,Browns,0,0,1,2019
620,Bengals,0,1,0,2019
621,Bears,0,1,1,2019
622,Panthers,1,2,0,2019
623,Bills,0,1,0,2019
624,Ravens,4,1,2,2019
625,Falcons,1,0,1,2019
626,Football ,1,1,2,2020
627,Buccaneers,0,1,1,2020
628,Seahawks,0,3,0,2020
629,49ers,0,0,1,2020
630,Chargers,0,1,2,2020
631,Steelers,0,1,3,2020
632,Cardinals,0,1,0,2020
633,Eagles,1,1,1,2020
634,Jets,0,1,1,2020
635,Giants,1,0,1,2020
636,Saints,0,1,1,2020
637,Patriots,1,0,1,2020
638,Vikings,0,1,0,2020
639,Dolphins,2,0,0,2020
640,Raiders,0,0,0,2020
641,Rams,1,1,3,2020
642,Chiefs,0,1,2,2020
643,Jaguars,0,0,1,2020
644,Colts,0,3,4,2020
645,Texans,0,0,1,2020
646,Titans,1,0,0,2020
647,Packers,1,1,1,2020
648,Lions,0,1,0,2020
649,Broncos,0,0,0,2020
650,Cowboys,2,0,0,2020
651,Browns,0,2,2,2020
652,Bengals,0,0,0,2020
653,Bears,1,1,0,2020
654,Panthers,3,0,0,2020
655,Bills,1,0,2,2020
656,Ravens,3,2,0,2020
657,Falcons,0,0,1,2020
658,Football ,0,0,2,2021
659,Buccaneers,0,0,2,2021
660,Seahawks,0,1,0,2021
661,49ers,0,0,2,2021
662,Chargers,1,0,0,2021
663,Steelers,0,0,0,2021
664,Cardinals,1,0,1,2021
665,Eagles,3,0,2,2021
666,Jets,0,0,1,2021
667,Giants,0,1,1,2021
668,Saints,0,0,2,2021
669,Patriots,0,0,3,2021
670,Vikings,0,0,2,2021
671,Dolphins,2,0,3,2021
672,Raiders,0,1,0,2021
673,Rams,0,0,0,2021
674,Chiefs,2,0,2,2021
675,Jaguars,0,0,0,2021
676,Colts,1,1,0,2021
677,Texans,0,1,1,2021
678,Titans,1,0,2,2021
679,Packers,0,0,2,2021
680,Lions,0,0,0,2021
681,Broncos,0,0,1,2021
682,Cowboys,1,0,5,2021
683,Browns,1,0,1,2021
684,Bengals,1,0,1,2021
685,Bears,1,1,1,2021
686,Panthers,0,1,0,2021
687,Bills,0,0,1,2021
688,Ravens,0,0,1,2021
689,Falcons,0,1,2,2021
