,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Att_Rush,Rush_Yds,YPC,TDC,20+C,40+C,LngC,Rush_1st,Rush_1st%,Rush_FUM,Tot_TD,Years
648,Lions,582,374,64.3,7.6,4397,27,13,93.3,220,37.8,58,8,73,42,293,367,1499,4.1,17,5,1,54,93,25.3,5,45,2020
649,Broncos,556,317,57,6.6,3673,21,23,72.5,176,31.7,49,11,92,32,222,442,1918,4.3,13,13,3,65,94,21.3,7,35,2020
650,Cowboys,639,413,64.6,7.1,4511,25,13,89.9,231,36.2,50,11,69,44,350,430,1788,4.2,14,7,2,42,115,26.7,7,42,2020
651,Browns,501,315,62.9,7.4,3701,27,8,96.6,195,38.9,45,5,75,26,162,495,2374,4.8,21,21,4,59,133,26.9,7,50,2020
652,Bengals,581,372,64,6.5,3793,19,11,85.7,201,34.6,35,5,72,48,345,411,1668,4.1,13,9,2,55,92,22.4,8,33,2020
653,Bears,614,402,65.5,6.4,3925,26,16,86.5,218,35.5,42,3,53,36,270,393,1647,4.2,12,8,3,80,93,23.7,1,40,2020
654,Panthers,550,373,67.8,7.5,4129,16,16,87.5,192,34.9,55,9,75,36,241,407,1704,4.2,19,6,1,45,110,27,7,38,2020
655,Bills,596,410,68.8,8,4786,40,11,107.6,240,40.3,66,10,56,27,166,411,1723,4.2,16,10,1,51,119,29,6,60,2020
656,Ravens,406,257,63.3,7.2,2919,27,11,95.7,142,35,38,5,70,32,180,555,3071,5.5,24,31,5,72,166,29.9,11,55,2020
657,Falcons,628,408,65,7.4,4620,27,11,93.9,243,38.7,59,8,63,41,257,409,1532,3.7,13,6,1,62,86,21,5,41,2020
658,Football ,550,356,64.7,6.8,3746,21,15,85.8,181,32.9,42,7,73,43,305,477,2061,4.3,13,8,0,38,129,27,10,37,2021
659,Buccaneers,731,492,67.3,7.4,5383,43,12,101.6,273,37.3,76,10,62,23,154,385,1672,4.3,18,9,2,55,106,27.5,3,63,2021
