,Team,INT,INT_TD,INT_Yds,Lng,Years
625,Falcons,12,1,130,27,2019
626,Football ,16,2,136,76,2020
627,Buccaneers,15,1,171,37,2020
628,Seahawks,14,0,106,32,2020
629,49ers,12,1,123,51,2020
630,Chargers,12,2,217,78,2020
631,Steelers,18,3,169,37,2020
632,Cardinals,11,0,129,90,2020
633,Eagles,8,1,101,30,2020
634,Jets,10,1,134,35,2020
635,Giants,11,1,101,46,2020
636,Saints,18,1,196,48,2020
637,Patriots,18,1,162,43,2020
638,Vikings,15,0,65,16,2020
639,Dolphins,18,0,146,29,2020
640,Raiders,10,0,156,47,2020
641,Rams,14,3,266,84,2020
642,Chiefs,16,2,259,50,2020
643,Jaguars,12,1,200,53,2020
644,Colts,15,4,266,50,2020
645,Texans,3,1,19,19,2020
646,Titans,15,0,189,68,2020
647,Packers,11,1,98,24,2020
648,Lions,7,0,65,36,2020
649,Broncos,10,0,130,46,2020
650,Cowboys,10,0,108,43,2020
651,Browns,11,2,214,50,2020
652,Bengals,11,0,84,30,2020
653,Bears,10,0,81,33,2020
654,Panthers,7,0,110,66,2020
655,Bills,15,2,184,51,2020
656,Ravens,10,0,78,25,2020
657,Falcons,12,1,204,67,2020
658,Football ,11,2,120,31,2021
659,Buccaneers,17,2,177,31,2021
660,Seahawks,11,0,92,29,2021
661,49ers,9,2,136,40,2021
662,Chargers,11,0,70,26,2021
663,Steelers,13,0,105,41,2021
664,Cardinals,13,1,247,77,2021
665,Eagles,12,2,142,51,2021
666,Jets,7,1,114,32,2021
667,Giants,15,1,135,41,2021
668,Saints,18,2,313,53,2021
669,Patriots,23,3,322,88,2021
670,Vikings,16,2,256,66,2021
671,Dolphins,14,3,175,85,2021
672,Raiders,6,0,68,35,2021
673,Rams,19,0,192,34,2021
674,Chiefs,15,2,160,75,2021
675,Jaguars,7,0,57,23,2021
676,Colts,19,0,175,32,2021
677,Texans,17,1,295,82,2021
678,Titans,16,2,128,24,2021
679,Packers,18,2,164,55,2021
680,Lions,11,0,108,50,2021
681,Broncos,13,1,221,70,2021
682,Cowboys,26,5,405,66,2021
683,Browns,13,1,148,99,2021
684,Bengals,13,1,266,65,2021
685,Bears,8,1,135,53,2021
686,Panthers,9,0,103,29,2021
687,Bills,19,1,238,26,2021
688,Ravens,9,1,38,21,2021
689,Falcons,12,2,202,66,2021
